location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20200405T0000,4.79,72.0,1010.2,0.0,0.0,100.0,0.0,10.0,100.0,4.4097047,244.98311,6.28713,246.37064,30.070238,238.21275,46.529217,236.67879,82.0,1374.0,3.88,-6.36
20200405T0100,5.27,64.0,1009.8,0.0,0.0,100.0,0.0,0.0,100.0,6.6172385,220.1009,9.931042,223.5312,27.36947,234.63754,40.01024,239.74356,79.0,1372.0,4.4,-6.58
20200405T0200,5.39,61.0,1009.2,0.0,0.0,92.0,0.0,0.0,92.0,9.605188,199.44003,14.84318,202.83365,25.199997,216.8699,39.98594,226.8241,75.0,1369.0,4.55,-6.18
20200405T0300,5.43,63.0,1008.7,0.0,0.0,0.0,0.0,0.0,0.0,13.056318,178.83086,19.803272,178.95837,29.795301,208.1132,39.555794,229.05936,70.0,1366.0,4.63,-5.87
20200405T0400,5.53,64.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,17.020435,162.69946,25.516865,163.61046,34.268143,199.00598,37.169018,225.78482,65.0,1362.0,4.79,-5.31
20200405T0500,5.66,68.0,1007.4,0.0,0.0,0.0,0.0,0.0,0.0,21.453058,151.84381,32.36398,154.29004,37.579926,184.94597,43.04522,209.56657,59.0,1359.0,4.95,-4.24
20200405T0600,5.72,72.0,1006.3,0.0,0.0,0.0,0.0,0.0,0.0,26.10856,143.71472,41.475063,143.82637,42.273567,184.88521,47.066467,201.06897,51.0,1354.0,5.09,-3.88
20200405T0700,5.78,74.0,1005.6,0.0,0.0,0.0,0.0,0.0,0.0,29.890268,143.33437,47.45723,144.26022,52.96406,182.33731,55.32768,198.19917,46.0,1350.0,5.23,-3.53
20200405T0800,6.0,76.0,1005.2,0.0,0.0,20.0,0.0,0.0,20.0,32.849403,149.2753,52.556297,150.44983,61.26455,186.74918,63.5275,197.8189,42.0,1349.0,5.53,-3.44
20200405T0900,6.13,78.0,1005.4,0.0,0.0,100.0,0.0,0.0,100.0,32.533535,163.34569,52.41679,164.0546,65.30999,194.03624,62.067383,203.59132,44.0,1348.0,5.66,-4.09
20200405T1000,6.45,80.0,1005.0,0.1,0.0,82.0,0.0,0.0,82.0,29.424843,174.80557,47.271168,176.06982,52.21117,201.4346,57.62362,212.49864,40.0,1343.0,6.11,-4.59
20200405T1100,6.63,70.0,1004.5,0.0,0.0,10.0,0.0,0.0,10.0,24.189648,191.43369,38.156605,193.64291,52.163986,206.21138,69.553635,207.09555,37.0,1339.0,6.37,-5.04
20200405T1200,5.21,85.0,1007.7,0.7,0.0,100.0,0.0,27.0,100.0,27.075993,203.79077,43.022636,204.20589,52.485973,206.91655,43.68033,203.81865,62.0,1358.0,4.43,-5.93
20200405T1300,4.12,74.0,1007.6,0.1,0.0,0.0,0.0,0.0,0.0,23.648159,255.65067,35.105072,256.96136,48.824814,236.42711,48.096054,216.78413,61.0,1352.0,3.25,-6.57
20200405T1400,4.59,70.0,1007.2,0.0,0.0,10.0,0.0,0.0,10.0,25.364021,233.97263,40.10406,233.02724,48.23597,237.49602,42.814278,227.72632,58.0,1348.0,3.78,-7.39
20200405T1500,4.59,69.0,1006.9,0.0,0.0,10.0,0.0,0.0,10.0,23.930075,226.3532,36.40275,225.40067,44.583347,227.29062,45.68597,229.15385,56.0,1345.0,3.82,-7.65
20200405T1600,4.31,72.0,1006.3,0.0,0.0,10.0,0.0,0.0,10.0,25.464552,227.96823,38.50654,228.41095,43.067795,231.78897,43.89048,228.9909,51.0,1340.0,3.54,-7.73
20200405T1700,4.14,75.0,1006.1,0.0,0.0,100.0,0.0,0.0,100.0,27.125746,225.0,42.2567,225.0,51.27694,231.84277,45.264183,230.48616,49.0,1337.0,3.35,-7.61
20200405T1800,4.15,76.0,1005.1,0.0,0.0,100.0,0.0,0.0,100.0,27.52571,222.64671,41.859188,220.8151,50.765106,228.73763,49.477413,231.79594,41.0,1330.0,3.45,-7.48
20200405T1900,4.18,75.0,1004.5,0.0,0.0,100.0,0.0,0.0,100.0,27.013014,216.98291,41.185005,216.46924,47.75533,220.41391,47.20944,229.01959,36.0,1325.0,3.54,-7.56
20200405T2000,4.04,75.0,1003.8,0.0,0.0,80.0,0.0,0.0,80.0,26.75696,215.27243,40.846912,214.95065,46.037796,214.8085,39.47708,223.15239,31.0,1319.0,3.43,-7.73
20200405T2100,3.71,76.0,1003.3,0.1,0.07,100.0,0.0,0.0,100.0,27.016953,220.60129,41.079456,221.09146,43.28691,223.65211,36.93291,226.97495,26.0,1313.0,3.1,-7.99
20200405T2200,3.6,80.0,1002.9,0.0,0.0,100.0,0.0,5.0,100.0,26.918266,218.57126,41.046314,217.87498,42.305744,227.75911,37.67809,224.22578,24.0,1310.0,3.0,-8.01
20200405T2300,3.32,88.0,1002.5,0.6,0.42000002,100.0,0.0,82.0,100.0,25.890188,229.59055,38.813274,229.51399,45.07913,243.43495,39.47708,241.09764,21.0,1307.0,2.75,-7.62
20200406T0000,3.6,83.0,1003.0,0.2,0.14,100.0,0.0,77.0,100.0,28.599253,260.88864,44.65306,262.5885,49.06709,266.2139,49.541546,264.5794,24.0,1311.0,2.99,-7.78
20200406T0100,3.56,82.0,1003.3,0.2,0.14,94.0,0.0,33.0,94.0,31.017015,265.0729,47.966537,266.5578,54.749596,271.88406,52.56,270.0,27.0,1313.0,2.93,-7.91
20200406T0200,3.67,78.0,1003.4,0.0,0.0,100.0,0.0,34.0,100.0,29.430868,260.62292,44.92073,260.31122,53.641205,269.61548,52.201237,270.39514,27.0,1314.0,3.06,-7.9
20200406T0300,3.58,83.0,1003.5,0.0,0.0,100.0,0.0,23.0,100.0,31.241573,266.08844,48.70788,266.1859,54.36,270.0,54.36119,270.37946,28.0,1316.0,2.93,-7.38
20200406T0400,3.8,87.0,1003.4,0.0,0.0,100.0,0.0,79.0,100.0,32.323444,265.74615,49.810265,265.85538,64.848976,272.22705,61.920002,270.0,27.0,1316.0,3.2,-7.53
20200406T0500,4.36,79.0,1003.2,0.0,0.0,100.0,0.0,0.0,100.0,30.862185,263.05902,47.510452,263.03653,61.199997,270.0,59.041096,269.65063,26.0,1317.0,3.86,-6.87
20200406T0600,4.32,76.0,1003.0,0.0,0.0,10.0,0.0,0.0,10.0,28.736647,259.3151,43.986343,259.1499,53.87626,264.63226,47.110508,263.41806,24.0,1315.0,3.84,-6.85
20200406T0700,4.27,76.0,1002.7,0.0,0.0,10.0,0.0,0.0,10.0,25.525791,251.75415,38.48129,250.88702,41.137775,261.44446,41.137775,261.44446,21.0,1312.0,3.81,-7.06
20200406T0800,4.16,77.0,1002.8,0.0,0.0,10.0,0.0,0.0,10.0,23.761923,250.34618,35.98559,250.11484,36.290424,259.13593,35.397354,265.33313,23.0,1313.0,3.68,-7.07
20200406T0900,4.25,76.0,1002.9,0.0,0.0,100.0,0.0,5.0,100.0,22.156088,251.7829,33.3559,251.76059,33.805515,262.04248,28.460497,267.82526,23.0,1314.0,3.79,-7.15
20200406T1000,4.32,76.0,1003.3,0.1,0.07,100.0,0.0,100.0,89.0,21.8448,257.31964,32.839024,257.33493,31.319998,270.0,24.648829,276.70984,27.0,1317.0,3.83,-7.16
20200406T1100,4.39,76.0,1003.8,0.1,0.0,100.0,0.0,45.0,100.0,22.535612,276.78897,33.805515,277.95752,31.869658,283.7223,23.906818,288.43494,31.0,1322.0,3.86,-7.23
20200406T1200,4.62,79.0,1004.6,0.2,0.0,100.0,0.0,0.0,100.0,29.213041,257.35785,44.71107,256.97083,53.407547,262.25223,60.275013,274.11,37.0,1329.0,4.01,-6.78
20200406T1300,4.14,86.0,1004.6,0.2,0.0,100.0,0.0,0.0,100.0,34.632,270.0,54.001198,270.38196,69.08718,278.0879,60.99636,277.46057,37.0,1327.0,3.44,-6.72
20200406T1400,4.35,90.0,1004.3,0.3,0.0,100.0,0.0,0.0,100.0,29.600388,267.42087,44.35165,266.7428,68.536285,273.6139,64.9957,274.4474,35.0,1328.0,3.72,-6.31
20200406T1500,4.04,88.0,1004.4,0.3,0.0,100.0,0.0,0.0,100.0,29.477856,276.22583,44.208233,276.5463,62.131035,281.7006,71.44436,276.94598,36.0,1327.0,3.33,-5.85
20200406T1600,3.93,86.0,1004.8,0.2,0.0,100.0,0.0,0.0,100.0,31.798834,278.67316,50.199028,278.24634,56.275265,286.34818,61.577892,282.4925,39.0,1330.0,3.18,-5.87
20200406T1700,4.35,83.0,1005.2,0.0,0.0,100.0,0.0,0.0,100.0,35.023243,283.1906,54.570583,284.12793,54.227524,290.6006,57.853695,290.01355,42.0,1333.0,3.6,-6.22
20200406T1800,4.26,83.0,1005.5,0.0,0.0,100.0,0.0,0.0,100.0,36.061546,282.80426,56.85379,282.80426,58.440983,290.55603,60.566727,291.99115,45.0,1336.0,3.49,-5.85
20200406T1900,4.27,83.0,1006.4,0.0,0.0,100.0,0.0,0.0,100.0,33.739326,285.57254,52.41679,285.9454,60.507847,292.75098,61.31107,292.80103,51.0,1343.0,3.42,-5.25
20200406T2000,4.25,83.0,1007.0,0.0,0.0,100.0,0.0,0.0,100.0,32.244305,284.83994,49.60298,285.1457,56.75911,291.19406,60.007797,289.6307,56.0,1347.0,3.33,-4.72
20200406T2100,4.14,84.0,1007.5,0.0,0.0,100.0,0.0,0.0,100.0,31.149439,282.84772,47.762108,283.5125,53.28,288.92465,61.722942,286.95532,61.0,1352.0,3.18,-4.83
20200406T2200,4.09,84.0,1008.2,0.0,0.0,100.0,0.0,0.0,100.0,30.705416,278.48163,47.297203,278.31512,51.43466,285.0089,61.120533,283.627,66.0,1357.0,3.05,-4.65
20200406T2300,4.01,85.0,1008.8,0.0,0.0,100.0,0.0,0.0,100.0,31.241573,273.91156,48.34868,273.84247,52.24839,281.92932,62.28104,282.3492,71.0,1362.0,2.91,-4.56
20200407T0000,4.1,85.0,1009.3,0.0,0.0,100.0,0.0,0.0,100.0,31.43633,270.48557,48.60133,270.4244,55.994755,282.24915,70.38069,284.81815,75.0,1368.0,2.97,-4.1
20200407T0100,4.52,82.0,1009.6,0.0,0.0,10.0,0.0,0.0,10.0,31.968,270.0,50.039997,270.0,64.262764,284.26978,75.44555,283.24054,77.0,1374.0,3.45,-3.57
20200407T0200,4.54,84.0,1009.8,0.0,0.0,10.0,0.0,0.0,10.0,31.969109,269.52255,49.68,270.0,66.90675,285.60663,72.84198,285.47864,79.0,1379.0,3.45,-3.34
20200407T0300,4.7,84.0,1009.9,0.0,0.0,0.0,0.0,0.0,0.0,29.847502,268.46567,46.445576,269.11176,61.852978,282.09476,65.828835,278.1744,79.0,1381.0,3.67,-3.53
20200407T0400,5.15,82.0,1009.8,0.0,0.0,0.0,0.0,0.0,0.0,26.725111,265.4261,41.8855,265.56354,62.788788,273.9452,65.61883,273.14496,79.0,1382.0,4.21,-3.26
20200407T0500,5.52,82.0,1009.7,0.0,0.0,24.300001,81.0,3.0,0.0,23.170675,261.4041,36.35109,262.0304,54.561085,265.07938,68.70625,275.41187,78.0,1383.0,4.69,-2.77
20200407T0600,5.88,85.0,1009.4,0.0,0.0,6.6000004,22.0,0.0,0.0,19.512777,255.77405,30.911821,255.15454,61.352283,265.96228,67.743164,276.40744,76.0,1384.0,5.17,-2.54
20200407T0700,6.15,88.0,1009.3,0.0,0.0,0.0,0.0,0.0,0.0,18.552612,248.9625,30.758411,249.44395,63.767776,263.51694,61.327984,273.7022,75.0,1385.0,5.52,-2.68
20200407T0800,6.28,87.0,1009.4,0.0,0.0,0.0,0.0,0.0,0.0,20.734753,249.70242,34.726475,250.62587,57.655094,267.4949,58.71973,272.1081,76.0,1387.0,5.74,-2.43
20200407T0900,6.68,79.0,1009.5,0.0,0.0,0.0,0.0,0.0,0.0,27.303076,252.97949,47.521362,254.17386,57.6,270.0,57.640484,272.14758,77.0,1390.0,6.25,-2.26
20200407T1000,6.66,82.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,27.914854,256.75946,48.503902,258.43988,61.576836,271.34003,61.238102,272.02136,81.0,1395.0,6.21,-1.96
20200407T1100,6.77,82.0,1010.3,0.0,0.0,0.0,0.0,0.0,0.0,26.960417,258.02386,46.95068,258.94855,66.62432,271.54816,58.679996,270.0,83.0,1398.0,6.37,-1.55
20200407T1200,6.99,84.0,1010.4,0.0,0.0,0.0,0.0,0.0,0.0,22.518286,259.08887,39.47708,260.02228,46.529213,266.45132,54.561085,265.07938,85.0,1397.0,6.6,-1.86
20200407T1300,6.96,85.0,1010.5,0.0,0.0,0.0,0.0,0.0,0.0,22.518286,259.08887,39.831684,260.112,55.893982,266.67688,59.12006,263.00482,85.0,1398.0,6.56,-1.64
20200407T1400,6.9,85.0,1010.4,0.0,0.0,0.0,0.0,0.0,0.0,21.89834,260.1939,38.89666,262.0199,59.128834,266.8589,58.719738,263.3107,85.0,1396.0,6.48,-1.49
20200407T1500,6.78,88.0,1010.3,0.0,0.0,0.0,0.0,0.0,0.0,19.33007,262.875,34.711544,264.6442,59.915936,265.86533,60.99636,262.53943,84.0,1396.0,6.34,-1.37
20200407T1600,6.67,89.0,1010.4,0.0,0.0,4.0,0.0,0.0,4.0,17.416122,263.8534,30.735231,264.6233,61.378677,265.62708,61.43777,264.95755,84.0,1396.0,6.17,-1.21
20200407T1700,6.65,89.0,1010.7,0.0,0.0,100.0,0.0,0.0,100.0,18.38353,269.16968,32.402,269.3634,61.765965,265.31955,60.72059,264.89783,87.0,1397.0,6.07,-1.01
20200407T1800,6.41,88.0,1010.8,0.0,0.0,26.0,0.0,0.0,26.0,18.71638,274.8991,29.627363,274.87927,60.19217,263.13,58.53848,259.72668,88.0,1398.0,5.66,-0.84
20200407T1900,5.92,88.0,1011.1,0.0,0.0,22.0,0.0,0.0,22.0,15.187138,285.25513,22.104116,286.07358,58.00023,260.71307,55.633686,254.61482,90.0,1399.0,4.99,-0.52
20200407T2000,5.27,88.0,1011.4,0.0,0.0,100.0,0.0,0.0,100.0,12.509458,296.56506,18.678415,297.55283,54.99994,259.0578,53.517845,250.34618,92.0,1400.0,4.22,-0.87
20200407T2100,4.75,88.0,1011.9,0.0,0.0,100.0,0.0,0.0,100.0,9.889147,297.25534,14.658676,294.67688,53.517845,259.1436,52.25459,251.93953,96.0,1403.0,3.67,-1.08
20200407T2200,4.58,88.0,1012.7,0.0,0.0,100.0,0.0,0.0,100.0,6.791894,295.55997,10.028439,291.0375,51.906208,260.01505,52.03961,255.57922,102.0,1409.0,3.45,-1.14
20200407T2300,4.73,90.0,1012.9,0.0,0.0,100.0,0.0,0.0,100.0,3.9603205,289.6538,5.937272,284.03625,50.14866,262.16074,51.544155,257.90524,104.0,1412.0,3.42,-1.6
20200408T0000,4.99,91.0,1013.5,0.0,0.0,100.0,0.0,0.0,100.0,1.9394212,254.0546,3.219938,243.43495,46.438602,262.875,53.36021,254.74487,108.0,1416.0,3.52,-2.13
20200408T0100,5.12,91.0,1013.8,0.0,0.0,100.0,0.0,0.0,100.0,2.0806506,219.80557,3.396233,212.00539,41.60609,260.5377,53.426956,249.48914,111.0,1419.0,3.89,-2.36
20200408T0200,5.43,92.0,1013.9,0.0,0.0,100.0,0.0,0.0,100.0,2.6372256,225.0,3.6,216.8699,38.97322,258.2749,51.675987,247.9021,112.0,1419.0,4.35,-2.14
20200408T0300,5.66,92.0,1013.9,0.0,0.0,100.0,0.0,0.0,100.0,2.6237357,246.0375,3.319036,229.39871,37.641953,257.2929,46.996204,247.95409,112.0,1420.0,4.65,-1.87
20200408T0400,5.68,92.0,1013.8,0.0,0.0,100.0,0.0,0.0,100.0,2.9304,270.0,4.73506,261.25385,33.636406,264.47247,39.47708,260.02228,111.0,1419.0,4.58,-1.48
20200408T0500,4.88,94.0,1013.9,0.0,0.0,100.0,0.0,0.0,100.0,4.2624,270.0,6.489992,266.8202,29.5551,267.2073,34.746994,264.05313,111.0,1421.0,3.66,-1.0
20200408T0600,4.22,94.0,1013.7,0.0,0.0,100.0,0.0,0.0,100.0,3.996,270.0,5.771239,266.42368,24.842607,270.83032,29.834423,261.67435,110.0,1420.0,2.82,-0.75
20200408T0700,3.54,94.0,1013.9,0.0,0.0,100.0,0.0,0.0,100.0,3.8142676,257.90524,5.6920996,251.56506,19.201874,276.4588,23.664352,256.8094,111.0,1422.0,2.25,-0.74
20200408T0800,3.74,91.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066419,238.3925,7.653705,228.81409,12.413476,286.8584,17.25373,246.64444,113.0,1425.0,3.4,-0.85
20200408T0900,4.06,86.0,1014.2,0.0,0.0,0.0,0.0,0.0,0.0,4.161301,219.80557,8.707237,209.74489,4.8965297,306.02737,11.709688,225.0,115.0,1428.0,4.71,-0.95
20200408T1000,4.19,82.0,1014.1,0.0,0.0,0.0,0.0,0.0,0.0,3.207881,184.76364,7.5685663,182.72632,3.2599385,83.65981,10.086427,182.04541,114.0,1430.0,5.69,-1.06
20200408T1100,4.33,80.0,1013.9,0.0,0.0,0.0,0.0,0.0,0.0,4.270717,93.576324,7.9036193,120.06859,11.252519,97.35238,14.480773,145.12466,113.0,1429.0,6.22,-1.08
20200408T1200,6.78,93.0,1015.2,0.0,0.0,0.0,0.0,0.0,0.0,20.53355,67.09423,33.75948,68.08512,25.683926,121.23921,26.739542,136.63657,123.0,1442.0,6.52,-0.63
20200408T1300,5.91,96.0,1015.2,0.0,0.0,100.0,0.0,0.0,100.0,24.445013,69.59012,39.04797,71.73209,34.921856,127.460556,37.731365,142.36475,122.0,1439.0,4.98,-0.75
20200408T1400,5.53,96.0,1015.3,0.0,0.0,100.0,0.0,0.0,100.0,28.762564,74.41908,46.363194,76.071655,41.493805,134.6485,44.519352,149.91031,123.0,1439.0,4.28,-0.95
20200408T1500,5.17,95.0,1014.8,0.0,0.0,100.0,0.0,7.0,100.0,32.854797,71.56504,51.692287,72.57456,46.10952,137.21475,46.696037,154.4227,119.0,1434.0,3.94,-0.63
20200408T1600,4.72,93.0,1014.1,0.0,0.0,100.0,0.0,100.0,100.0,36.325275,69.8374,56.593327,70.297134,48.970585,138.57632,47.011368,153.63116,113.0,1427.0,3.21,-0.57
20200408T1700,4.27,93.0,1014.1,0.0,0.0,100.0,0.0,100.0,100.0,36.66752,69.59012,57.054035,70.07867,56.80818,142.98486,57.95888,153.43495,113.0,1425.0,2.65,-2.01
20200408T1800,4.11,92.0,1013.8,0.3,0.0,100.0,0.0,100.0,100.0,36.169624,67.023056,55.55326,67.9228,54.22752,147.47046,58.901543,157.3532,110.0,1419.0,2.49,-2.25
20200408T1900,3.99,93.0,1013.1,4.0,0.0,100.0,0.0,100.0,100.0,36.46859,64.93253,56.07224,65.7387,56.958553,143.99925,57.96112,157.73601,105.0,1414.0,2.43,-1.02
20200408T2000,4.1,93.0,1012.7,4.8,0.0,100.0,0.0,100.0,100.0,35.19103,66.34578,54.833565,66.8014,62.088257,139.93921,56.440834,156.70543,102.0,1409.0,2.59,-1.99
20200408T2100,4.62,93.0,1012.9,4.8,0.0,100.0,0.0,100.0,100.0,29.932974,73.98456,46.287655,74.66671,57.438896,139.3208,46.35061,160.01689,104.0,1408.0,3.27,-2.68
20200408T2200,5.18,93.0,1013.0,3.5,0.0,100.0,0.0,100.0,100.0,25.586885,75.52971,40.17993,77.58256,30.05515,145.73889,21.611996,209.98164,105.0,1408.0,3.94,-3.27
20200408T2300,5.29,93.0,1013.1,1.0,0.0,100.0,0.0,100.0,100.0,22.418789,69.842384,36.317204,72.10386,12.413476,196.8584,23.617756,232.43141,106.0,1407.0,4.08,-3.38
20200409T0000,4.88,92.0,1013.4,0.0,0.0,100.0,0.0,85.0,100.0,21.898338,53.408897,35.450405,55.341644,14.869351,263.04706,20.345573,256.70142,108.0,1407.0,3.51,-4.09
20200409T0100,3.76,92.0,1014.1,0.0,0.0,100.0,0.0,2.0,100.0,20.780907,36.13536,32.048088,38.157227,19.211996,282.99463,33.00436,283.88467,112.0,1407.0,2.2,-5.8
20200409T0200,2.46,92.0,1014.6,0.0,0.0,100.0,0.0,0.0,100.0,20.636974,11.164871,29.888672,9.008499,33.3792,286.2849,44.96687,284.37,116.0,1406.0,0.69,-5.31
20200409T0300,2.2,89.0,1014.8,0.0,0.0,100.0,0.0,0.0,100.0,21.181732,6.499344,31.722921,9.141647,44.41297,286.96616,46.34502,287.16818,117.0,1405.0,0.44,-5.21
20200409T0400,2.36,83.0,1014.8,0.0,0.0,31.0,0.0,0.0,31.0,17.324194,1.7623901,24.881702,3.3177795,51.461113,289.19547,46.889915,284.6764,118.0,1406.0,0.75,-5.55
20200409T0500,2.63,80.0,1015.2,0.0,0.0,71.0,0.0,0.0,71.0,10.538806,339.27444,14.372974,337.93213,53.737762,289.16324,48.561317,285.47864,121.0,1409.0,1.13,-5.72
20200409T0600,2.59,84.0,1015.3,0.0,0.0,100.0,0.0,0.0,100.0,10.467859,284.74356,15.39184,280.7843,54.418377,288.9144,48.621326,287.22748,121.0,1410.0,1.0,-5.91
20200409T0700,2.21,92.0,1015.5,0.0,0.0,100.0,0.0,0.0,100.0,13.118679,282.9074,19.296133,284.03625,51.95113,292.83368,50.22613,290.12344,123.0,1413.0,0.57,-5.78
20200409T0800,2.14,92.0,1015.6,0.0,0.0,100.0,0.0,0.0,100.0,11.630427,290.0952,16.279802,288.0343,49.26873,291.87915,49.864876,288.9582,124.0,1415.0,0.49,-5.64
20200409T0900,2.06,92.0,1015.7,0.0,0.0,100.0,0.0,0.0,100.0,8.935328,296.56506,12.245293,294.30457,44.631287,289.31186,47.238255,284.56577,125.0,1417.0,0.52,-5.55
20200409T1000,2.47,93.0,1015.9,0.0,0.0,100.0,0.0,0.0,100.0,6.074855,307.875,8.78872,304.99203,40.20573,286.65012,44.50625,279.30994,126.0,1419.0,0.71,-5.56
20200409T1100,3.16,93.0,1015.9,0.0,0.0,100.0,0.0,0.0,100.0,3.3907182,315.0,4.5820518,315.0,38.26852,281.94418,44.565907,276.49353,127.0,1420.0,1.23,-5.33
20200409T1200,5.84,70.0,1017.1,0.0,0.0,53.0,0.0,0.0,53.0,14.956409,274.08563,23.499481,275.2739,30.652895,273.36646,31.328272,271.3169,137.0,1432.0,4.4,-6.43
20200409T1300,5.67,72.0,1016.8,0.0,0.0,10.0,0.0,7.0,10.0,16.300545,281.30994,26.052162,281.15466,29.519999,270.0,29.522196,269.30133,135.0,1430.0,4.27,-6.41
20200409T1400,5.52,73.0,1016.5,0.0,0.0,10.0,0.0,1.0,10.0,15.109837,279.1302,24.031178,278.61566,26.661882,267.67847,27.059933,266.1859,133.0,1427.0,4.09,-6.34
20200409T1500,5.42,74.0,1016.2,0.0,0.0,34.0,0.0,34.0,0.0,13.415561,276.84277,21.746504,276.65442,23.087763,259.2157,25.849905,257.125,130.0,1424.0,4.02,-6.35
20200409T1600,5.33,75.0,1016.1,0.0,0.0,40.0,0.0,40.0,10.0,12.798296,272.38596,20.532627,272.00955,21.218632,255.25644,24.826952,253.1416,129.0,1423.0,3.92,-6.44
20200409T1700,5.15,76.0,1016.0,0.0,0.0,30.0,0.0,30.0,11.0,13.0536,270.0,20.172853,267.9546,21.068459,253.11322,23.598541,248.52321,128.0,1421.0,3.74,-6.56
20200409T1800,4.96,76.0,1015.5,0.0,0.0,25.0,0.0,15.0,25.0,12.787201,270.0,18.72,270.0,21.479666,256.42957,21.900904,244.69861,124.0,1416.0,3.56,-6.73
20200409T1900,4.75,76.0,1015.4,0.0,0.0,19.0,0.0,6.0,19.0,12.812152,273.57632,18.0036,271.14575,21.188072,260.2176,18.998316,242.9494,124.0,1415.0,3.32,-6.97
20200409T2000,4.51,76.0,1015.4,0.0,0.0,24.0,0.0,0.0,24.0,13.32,270.0,19.443333,268.9391,20.545246,258.88696,16.676977,237.3391,123.0,1413.0,3.06,-7.22
20200409T2100,4.37,75.0,1015.5,0.0,0.0,15.0,0.0,0.0,15.0,13.386435,264.28943,19.652176,261.57303,20.380579,252.52524,16.704155,232.88315,124.0,1413.0,2.91,-7.48
20200409T2200,4.41,73.0,1015.5,0.0,0.0,52.0,0.0,52.0,15.0,11.483046,266.0091,16.65754,263.79657,19.469975,250.55997,16.87398,236.30994,124.0,1412.0,2.99,-7.7
20200409T2300,4.35,74.0,1015.3,0.0,0.0,36.0,0.0,36.0,0.0,9.10449,290.55603,13.32,288.92465,17.873556,260.72742,15.978484,247.47943,123.0,1411.0,2.94,-7.7
20200410T0000,4.2,75.0,1015.4,0.0,0.0,9.0,0.0,0.0,9.0,8.499788,327.80426,12.783802,327.6526,16.93531,272.43665,15.683776,260.7539,124.0,1412.0,2.77,-7.59
20200410T0100,3.89,80.0,1015.3,0.0,0.0,11.0,0.0,0.0,11.0,8.528962,1.7899017,12.245294,1.6846771,16.595179,282.5288,16.65754,276.20346,122.0,1410.0,2.46,-7.69
20200410T0200,3.13,87.0,1015.0,0.0,0.0,59.0,0.0,0.0,59.0,8.223954,24.904755,11.4862,32.195724,16.42247,296.00336,16.981165,291.12473,119.0,1406.0,1.64,-7.62
20200410T0300,2.18,94.0,1014.7,0.0,0.0,100.0,0.0,0.0,100.0,6.0397053,41.42366,9.0,53.130096,16.595179,310.60132,17.283749,305.67642,116.0,1403.0,0.64,-7.59
20200410T0400,2.16,96.0,1014.4,0.0,0.0,100.0,0.0,0.0,100.0,2.2916594,35.53766,3.096837,54.46232,19.85556,315.0,18.626305,318.91827,114.0,1401.0,0.16,-7.55
20200410T0500,2.14,93.0,1014.3,0.0,0.0,100.0,0.0,0.0,100.0,3.7105224,291.0375,5.3999996,270.0,22.915916,313.727,21.068459,326.853,113.0,1400.0,0.48,-7.4
20200410T0600,3.82,80.0,1013.7,0.0,0.0,31.0,0.0,0.0,31.0,12.2225065,290.40988,18.214718,288.43497,26.729847,314.45435,22.90743,329.80838,110.0,1398.0,2.54,-7.4
20200410T0700,4.06,81.0,1013.9,0.0,0.0,15.0,0.0,1.0,15.0,20.39309,289.85522,31.82082,291.92178,33.233284,309.72614,25.133053,321.98108,111.0,1400.0,2.56,-7.26
20200410T0800,4.2,83.0,1013.9,0.0,0.0,0.0,0.0,0.0,0.0,22.68627,279.46234,34.114628,277.275,35.785156,306.40878,28.006056,316.04163,111.0,1402.0,2.78,-6.8
20200410T0900,4.68,77.0,1013.9,0.0,0.0,0.0,0.0,0.0,0.0,25.234985,280.95407,39.47708,282.64215,36.075523,306.06943,28.79325,312.46643,111.0,1404.0,3.28,-6.57
20200410T1000,5.26,72.0,1013.8,0.0,0.0,0.0,0.0,0.0,0.0,25.189947,287.8601,38.706276,288.43497,36.304707,300.37915,28.357855,303.08487,111.0,1405.0,3.96,-6.53
20200410T1100,5.17,75.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,26.331858,295.78735,41.699436,296.12262,31.353085,304.23746,27.504093,307.0199,113.0,1407.0,3.82,-6.67
20200410T1200,4.79,78.0,1014.7,0.0,0.0,0.0,0.0,0.0,0.0,23.092438,309.38245,36.941685,307.875,29.88217,301.2005,27.553524,298.90918,118.0,1413.0,3.41,-6.3
20200410T1300,3.83,87.0,1014.7,0.0,0.0,100.0,0.0,0.0,100.0,19.54185,27.613022,30.555498,34.43898,18.440998,308.65982,24.798225,297.68106,118.0,1410.0,2.33,-6.56
20200410T1400,2.79,92.0,1015.1,0.0,0.0,100.0,0.0,0.0,100.0,22.683142,49.76364,34.07091,51.434723,10.661107,348.31064,24.66197,303.69006,120.0,1409.0,1.12,-6.53
